,IDsensore,DataOra,Misura,Valido
0,8140,2018-01-01 01:00:00.000,3.2,100
1,8140,2018-01-01 02:00:00.000,3.2,100
2,8140,2018-01-01 03:00:00.000,2.8,100
3,8140,2018-01-01 04:00:00.000,2.7,100
4,8140,2018-01-01 05:00:00.000,2.8,100
5,8140,2018-01-01 06:00:00.000,2.1,100
6,8140,2018-01-01 07:00:00.000,1.5,100
7,8140,2018-01-01 08:00:00.000,1.1,100
8,8140,2018-01-01 09:00:00.000,0.9,100
9,8140,2018-01-01 10:00:00.000,0.6,100
10,8140,2018-01-01 11:00:00.000,1.1,100
11,8140,2018-01-01 12:00:00.000,1.9,100
12,8140,2018-01-01 13:00:00.000,1.6,100
13,8140,2018-01-01 14:00:00.000,1.9,100
14,8140,2018-01-01 15:00:00.000,2.5,100
15,8140,2018-01-01 16:00:00.000,3.3,100
16,8140,2018-01-01 17:00:00.000,2.9,100
17,8140,2018-01-01 18:00:00.000,2.6,100
18,8140,2018-01-01 19:00:00.000,3.5,100
19,8140,2018-01-01 20:00:00.000,2.6,100
20,8140,2018-01-01 21:00:00.000,3.4,100
21,8140,2018-01-01 22:00:00.000,3.3,100
22,8140,2018-01-01 23:00:00.000,4.6,100
23,8140,2018-01-02 01:00:00.000,4.2,100
24,8140,2018-01-02 02:00:00.000,3.0,100
25,8140,2018-01-02 03:00:00.000,1.5,100
26,8140,2018-01-02 04:00:00.000,0.9,100
27,8140,2018-01-02 05:00:00.000,0.2,100
28,8140,2018-01-02 06:00:00.000,0.4,100
29,8140,2018-01-02 07:00:00.000,0.4,100
30,8140,2018-01-02 08:00:00.000,-0.1,100
31,8140,2018-01-02 09:00:00.000,0.5,100
32,8140,2018-01-02 10:00:00.000,0.9,100
33,8140,2018-01-02 11:00:00.000,1.7,100
34,8140,2018-01-02 12:00:00.000,4.5,100
35,8140,2018-01-02 13:00:00.000,7.8,100
36,8140,2018-01-02 14:00:00.000,9.4,100
37,8140,2018-01-02 15:00:00.000,10.6,100
38,8140,2018-01-02 16:00:00.000,11.2,100
39,8140,2018-01-02 17:00:00.000,7.0,100
