year, jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec, annual
1901, 5.26, 3.1, 10.35, 18.64, 23.41, 30.56, 30.11, 30.01, 23.91, 17.69, 9.24, 5.76, 17.42
1902, 6.09, 6.92, 14.99, 20, 21.57, 27.47, 32.56, 30.01, 25.14, 16.86, 8.09, 6.9, 18.12
1903, 4.78, 9.34, 15.17, 16.48, 22.81, 25.28, 30.13, 30.79, 25.13, 18.66, 11.5, 5.48, 18.02
1904, 6.08, 8.56, 12.24, 19.85, 27.12, 30.45, 33.97, 30.55, 23.15, 18.01, 10.33, 6.19, 18.91
1905, 3.74, 7.1, 13.38, 19.17, 20.59, 28.05, 32.61, 29.23, 25.47, 14.59, 10.19, 5.59, 17.52
1906, 4.84, 7.09, 14, 18.2, 24.92, 30.06, 30.83, 31.36, 25.51, 19.1, 11.55, 6.13, 18.7
1907, 3.16, 6.63, 14.69, 17.93, 24.48, 29.62, 30.52, 31.33, 25.11, 18.23, 11.25, 7.97, 18.48
1908, 5.9, 11.16, 12.14, 16.41, 26.05, 29.69, 30.61, 29.47, 24.48, 18.85, 9.66, 5.95, 18.38
1909, 5.01, 5.92, 10.58, 21.75, 25.55, 27.44, 30.85, 30.71, 24.39, 19.41, 10.88, 7.2, 18.38
1910, 6.32, 9.22, 14.93, 18.3, 23.19, 29.35, 30.38, 29.65, 23.59, 18.12, 9.82, 8.23, 18.48
1911, 4.11, 7.41, 13.41, 19.55, 23.95, 27.85, 33.72, 31.35, 26.37, 16.06, 11.76, 7.55, 18.65
1912, 5.33, 9.41, 15.15, 16.93, 24.68, 28.24, 29.73, 26.9, 20.3, 14.95, 8.12, 5.19, 17.1
1913, 4.37, 6.37, 13.32, 17.15, 23.52, 29.06, 28.56, 28.45, 23.17, 17.41, 11.22, 6.22, 17.46
1914, 2.99, 9.47, 13.65, 20.42, 22.5, 27.52, 29.92, 29.04, 24.62, 16.21, 9.72, 5.59, 17.67
1915, 4.21, 4.66, 12.79, 17.81, 24.72, 27.93, 29.72, 28.15, 22.16, 15.62, 8.64, 7.18, 17.04
1916, 5.32, 7.97, 11.6, 18.91, 24.44, 26.58, 29.43, 28.5, 21.24, 16.62, 10.38, 6.4, 17.31
1917, 3.37, 3.98, 9.99, 16.31, 23.28, 29.68, 30.18, 29.02, 26.08, 16.32, 10.04, 4.63, 16.97
1918, 3.23, 9.04, 12.47, 15.37, 24.23, 25.51, 30.52, 29.5, 25.42, 15.38, 9.08, 5.41, 17.14
1919, 6.58, 6.36, 12.6, 17.21, 24.11, 29.18, 28.06, 30.31, 25.73, 15.34, 7.21, 6.3, 17.48
1920, 9.05, 11.3, 15.41, 17.11, 26.82, 26.09, 29.37, 26.93, 23.65, 14.78, 6.47, 6.21, 17.8
1921, 8.35, 8.65, 14.48, 16.7, 23.64, 27.68, 30.75, 28.6, 24.17, 20.9, 10.23, 6.39, 18.44
1922, 4.08, 6.63, 13.88, 15.82, 25.43, 27.34, 29.09, 29.65, 21.24, 14.97, 9.34, 5.97, 17.02
1923, 5.34, 8.05, 14.41, 16.6, 24.12, 24.45, 31.01, 30.43, 24, 18.91, 11.31, 6.48, 18
1924, 3.01, 7.5, 11.54, 17.97, 25.12, 26.89, 29.38, 25.9, 24.32, 17.05, 10.33, 7.53, 17.24
1925, 6.3, 8.75, 11.06, 16.92, 21.89, 27.93, 28.05, 28.29, 22.13, 18.26, 10.12, 4.07, 17.02
1926, 3.52, 9.05, 13.56, 18.94, 20.78, 25.26, 29.48, 29.68, 27.05, 17.42, 12.96, 5.75, 17.82
1927, 5.63, 6.1, 13.58, 20.42, 23.69, 27.24, 30.24, 29.9, 23.78, 18.48, 12.2, 5.44, 18.12
1928, 5.98, 10.84, 10.55, 17.95, 21.05, 27.98, 33.54, 31.59, 22.76, 16.79, 11.2, 5.36, 17.98
1929, 1.7, 1.55, 13.98, 16.22, 23.78, 28.77, 31.21, 28.18, 26.59, 17.01, 10.5, 6.97, 17.3
1930, 3.93, 6.09, 12.66, 17.2, 20.86, 29.1, 28.99, 28.01, 24.3, 17.45, 12.34, 6.15, 17.31
1931, 5.19, 6.91, 10.89, 16.72, 23.42, 30.59, 30.65, 28.06, 21.65, 17.53, 10.41, 5.33, 17.34
1932, 6.87, 3.97, 9.66, 15.8, 22.3, 25.82, 27.8, 31.2, 26.65, 16.88, 11.49, 6.24, 17.1
1933, 3.87, 5.93, 13.1, 18.87, 22.09, 24.26, 30.71, 30.55, 23.88, 17.67, 7.99, 1.89, 16.8
1934, 4.04, 9.3, 12.25, 18.86, 25.09, 26.91, 30.8, 27.43, 25.16, 17.82, 9.38, 6.16, 17.81
1935, 2.71, 8.54, 13.29, 17.56, 19.49, 29.84, 31.3, 27.71, 25.4, 17.47, 11.52, 4.83, 17.51
1936, 7.54, 7.94, 14.11, 16.26, 23.05, 26.89, 29.43, 29, 22.8, 14.95, 9.07, 6.59, 17.34
1937, 3.75, 10.32, 11.22, 18.46, 24.65, 28.34, 30.62, 28.59, 22.49, 16.68, 10.63, 4.42, 17.55
1938, 4.21, 8.68, 18.03, 17.74, 21.23, 29.42, 30.15, 28.79, 22.9, 17.52, 11.18, 4.83, 17.94
1939, 5.5, 10.24, 11.76, 19.15, 19.06, 27.5, 30.13, 28.46, 22.95, 15.16, 10.65, 4.71, 17.13
1940, 1.41, 5.7, 13.13, 18.58, 23.17, 26.09, 28.58, 28.25, 24.53, 15.77, 10.97, 2.8, 16.6
1941, 2.17, 5.89, 12.92, 16.34, 19.68, 27.56, 29.85, 27.85, 24.21, 16.54, 8.53, 6.16, 16.53
1942, 1.55, 4.73, 12.75, 17, 23.32, 28.35, 30.21, 29.44, 26.1, 20.13, 9.82, 4.93, 17.43
1943, 3.13, 9.97, 14.28, 20.68, 23.7, 28.15, 30.68, 31.35, 25.16, 19.02, 9.02, 6.87, 18.55
1944, 5.93, 7.55, 13.16, 19.59, 23.42, 26.62, 29.36, 30.9, 23.37, 15.73, 9.28, 4.37, 17.47
1945, 0.82, 7.49, 16.46, 21.04, 25.68, 30.63, 33.04, 28.45, 26.18, 18.82, 9.53, 5.65, 18.71
1946, 3.32, 10.49, 13.26, 20.73, 22.68, 26.64, 31.27, 29.47, 26.06, 16.27, 9.09, 3.23, 17.74
1947, 0.18, 2.89, 10.71, 21.07, 24.37, 29.89, 31.97, 31.29, 26.31, 17.13, 10.38, 5.24, 17.69
